settlement_id,payment_id,settled_amount,fee_amount,currency,settlement_date,status
SET9001,PAY5001,499.0,0.0,INR,2026-08-13,settled
SET9002,PAY5002,783.02,15.98,INR,2026-08-29,settled
SET9003,PAY5003,4999.0,0.0,INR,2026-08-13,settled
SET9004,PAY5004,2499.0,0.0,INR,2026-08-29,settled
SET9005,PAY5005,1999.0,0.0,INR,2026-08-03,settled
SET9006,PAY5006,9999.0,0.0,INR,2026-08-16,settled
SET9007,PAY5007,1999.0,0.0,INR,2026-08-09,settled
SET9008,PAY5008,2499.0,0.0,INR,2026-08-15,settled
SET9009,PAY5009,4999.0,0.0,INR,2026-08-21,settled
SET9010,PAY5010,3999.0,0.0,INR,2026-08-22,settled
SET9011,PAY5011,299.0,0.0,INR,2026-08-14,settled
SET9012,PAY5012,4799.0,0.0,INR,2026-08-07,settled
SET9013,PAY5013,1499.0,0.0,INR,2026-08-10,settled
SET9014,PAY5014,499.0,0.0,INR,2026-08-06,settled
SET9015,PAY5015,4999.5,0.0,INR,2026-08-10,settled
SET9016,PAY5016,2499.0,0.0,INR,2026-08-30,settled
SET9017,PAY5017,499.0,0.0,INR,2026-08-05,settled
SET9018,PAY5018,3999.0,0.0,INR,2026-08-15,settled
SET9019,PAY5019,3999.0,0.0,INR,2026-08-18,settled
SET9020,PAY5020,5999.0,0.0,INR,2026-08-25,settled
SET9022,PAY5022,9999.0,0.0,INR,2026-08-24,settled
SET9023,PAY5023,9999.0,0.0,INR,2026-08-26,settled
SET9024,PAY5024,5879.02,119.98,INR,2026-08-10,settled
SET9025,PAY5025,1299.0,0.0,INR,2026-08-21,settled
SET9026,PAY5026,1999.0,0.0,INR,2026-08-29,settled
SET9027,PAY5027,2499.0,0.0,INR,2026-08-29,settled
SET9028,PAY5028,799.0,0.0,INR,2026-08-17,settled
SET9029,PAY5029,5999.0,0.0,INR,2026-08-15,settled
SET9030,PAY5030,1999.0,0.0,INR,2026-08-08,settled
SET9031,PAY5031,4999.0,0.0,INR,2026-09-01,settled
SET9032,PAY5032,1999.0,0.0,INR,2026-08-28,settled
SET9033,PAY5033,5999.0,0.0,INR,2026-08-08,settled
SET9034,PAY5034,799.0,0.0,INR,2026-08-17,settled
SET9035,PAY5035,9999.0,0.0,INR,2026-08-06,settled
