order_id,expected_status,scenario,expected_payment,expected_payment_id,expected_settlement,expected_difference
ORD1001,exact_match,exact_match,499,PAY5001,499.0,0.0
ORD1002,fee_deduction,fee_deduction,799,PAY5002,783.02,15.98
ORD1003,exact_match,exact_match,4999,PAY5003,4999.0,0.0
ORD1004,exact_match,exact_match,2499,PAY5004,2499.0,0.0
ORD1005,exact_match,exact_match,1999,PAY5005,1999.0,0.0
ORD1006,exact_match,exact_match,9999,PAY5006,9999.0,0.0
ORD1007,date_variation,date_variation,1999,PAY5007,1999.0,0.0
ORD1008,exact_match,exact_match,2499,PAY5008,2499.0,0.0
ORD1009,exact_match,exact_match,4999,PAY5009,4999.0,0.0
ORD1010,date_variation,date_variation,3999,PAY5010,3999.0,0.0
ORD1011,amount_mismatch,amount_mismatch,799,PAY5011,299.0,500.0
ORD1012,amount_mismatch,amount_mismatch,4999,PAY5012,4799.0,200.0
ORD1013,exact_match,exact_match,1499,PAY5013,1499.0,0.0
ORD1014,exact_match,exact_match,499,PAY5014,499.0,0.0
ORD1015,partial_settlement,partial_settlement,9999,PAY5015,4999.5,4999.5
ORD1016,exact_match,exact_match,2499,PAY5016,2499.0,0.0
ORD1017,customer_variation,customer_variation,499,PAY5017,499.0,0.0
ORD1018,exact_match,exact_match,3999,PAY5018,3999.0,0.0
ORD1019,exact_match,exact_match,3999,PAY5019,3999.0,0.0
ORD1020,exact_match,exact_match,5999,PAY5020,5999.0,0.0
ORD1021,missing_settlement,missing_settlement,9999,PAY5021,,
ORD1022,date_variation,date_variation,9999,PAY5022,9999.0,0.0
ORD1023,exact_match,exact_match,9999,PAY5023,9999.0,0.0
ORD1024,fee_deduction,fee_deduction,5999,PAY5024,5879.02,119.98
ORD1025,exact_match,exact_match,1299,PAY5025,1299.0,0.0
ORD1026,duplicate_payment,duplicate_payment,1999,PAY5026,1999.0,0.0
ORD1027,exact_match,exact_match,2499,PAY5027,2499.0,0.0
ORD1028,exact_match,exact_match,799,PAY5028,799.0,0.0
ORD1029,exact_match,exact_match,5999,PAY5029,5999.0,0.0
ORD1030,exact_match,exact_match,1999,PAY5030,1999.0,0.0
ORD1031,exact_match,exact_match,4999,PAY5031,4999.0,0.0
ORD1032,exact_match,exact_match,1999,PAY5032,1999.0,0.0
ORD1033,exact_match,exact_match,5999,PAY5033,5999.0,0.0
ORD1034,exact_match,exact_match,799,PAY5034,799.0,0.0
ORD1035,exact_match,exact_match,9999,PAY5035,9999.0,0.0
ORD1036,exact_match,exact_match,1499,PAY5036,1499.0,0.0
ORD1037,missing_settlement,missing_settlement,3999,PAY5037,,
ORD1038,exact_match,exact_match,1499,PAY5038,1499.0,0.0
ORD1039,exact_match,exact_match,5999,PAY5039,5999.0,0.0
ORD1040,exact_match,exact_match,2499,PAY5040,2499.0,0.0
ORD1041,customer_variation,customer_variation,1999,PAY5041,1999.0,0.0
ORD1042,exact_match,exact_match,2499,PAY5042,2499.0,0.0
ORD1043,exact_match,exact_match,9999,PAY5043,9999.0,0.0
ORD1044,exact_match,exact_match,1499,PAY5044,1499.0,0.0
ORD1045,fee_deduction,fee_deduction,3999,PAY5045,3919.02,79.98
ORD1046,exact_match,exact_match,999,PAY5046,999.0,0.0
ORD1047,exact_match,exact_match,1299,PAY5047,1299.0,0.0
ORD1048,date_variation,date_variation,2499,PAY5048,2499.0,0.0
ORD1049,exact_match,exact_match,5999,PAY5049,5999.0,0.0
ORD1050,exact_match,exact_match,2499,PAY5050,2499.0,0.0
ORD1051,exact_match,exact_match,5999,PAY5051,5999.0,0.0
ORD1052,exact_match,exact_match,9999,PAY5052,9999.0,0.0
ORD1053,missing_settlement,missing_settlement,999,PAY5053,,
ORD1054,date_variation,date_variation,4999,PAY5054,4999.0,0.0
ORD1055,exact_match,exact_match,4999,PAY5055,4999.0,0.0
ORD1056,exact_match,exact_match,1499,PAY5056,1499.0,0.0
ORD1057,exact_match,exact_match,2499,PAY5057,2499.0,0.0
ORD1058,exact_match,exact_match,3999,PAY5058,3999.0,0.0
ORD1059,exact_match,exact_match,499,PAY5059,499.0,0.0
ORD1060,customer_variation,customer_variation,1499,PAY5060,1499.0,0.0
ORD1061,exact_match,exact_match,1499,PAY5061,1499.0,0.0
ORD1062,fee_deduction,fee_deduction,1299,PAY5062,1273.02,25.98
ORD1063,exact_match,exact_match,2499,PAY5063,2499.0,0.0
ORD1064,exact_match,exact_match,4999,PAY5064,4999.0,0.0
ORD1065,exact_match,exact_match,4999,PAY5065,4999.0,0.0
ORD1066,exact_match,exact_match,5999,PAY5066,5999.0,0.0
ORD1067,date_variation,date_variation,1999,PAY5067,1999.0,0.0
ORD1068,exact_match,exact_match,2999,PAY5068,2999.0,0.0
